Listing Title,Listing Email,Listing URL,Listing Address,Listing Short Description,Listing Long Description
Radio Bar,N/A,https://theradiobar.com/,3079 Government St,"The Radio Bar is a bar located in Baton Rouge, Louisiana.",N/A
Royal Hookah Lounge & Bar,info@royalhookah.com,https://royalhookah.com/,5830 S Sherwood Forest Blvd,"Royal Hookah Lounge & Bar is located at 5830 S Sherwood Forest Blvd in Baton Rouge, LA. They can be contacted at (225) 465-3830 or info@royalhookah.com. They are open Monday-Saturday from 8:00pm – 2:00am and Sunday from 6:00pm – 12am.","The page provides contact information for Royal Hookah Lounge & Bar, including their address, phone number, email, and hours of operation. It also includes a contact form for inquiries."
Silly Rabbit Comedy Club,contact@sillyrabbitcomedyclub.com,https://www.sillyrabbitcomedyclub.com,9945 Airline Hwy,Where laughter is the best medicine,"The Silly Rabbit Comedy Club hosts upcoming events, open mic nights and private events. They also sell merch."
The R&B Cocktail Lounge,N/A,N/A,3151 College Dr,N/A,N/A
Olive Or Twist,info@oliveortwistbr.com,https://www.oliveortwistbr.com/,7248 Perkins Rd,"Contact information for Olive or Twist: Bar + Kitchen, including email, phone number, and physical address.","The contact page provides an email form for inquiries, the general business email (info@oliveortwistbr.com), the owner's email (josh@oliveortwistbr.com), phone number (225-456-2188), and physical address (2122 Perkins Palm Ave. Suite A, Baton Rouge, LA 70808). It also lists the business hours, brunch hours, and happy hour times."
Mother’s Lounge,mothersloungebr@gmail.com,https://www.mothersloungebr.com/,143 3rd St,"A Baton Rouge queer lounge. Operated by queer people, for queer people.","You’re invited to set the social scene ablaze with your fierce self-expression and dazzling uniqueness. Share a culinary experience with friends, sip on inspired libations, or dance the night away. Whatever your fantasy, make it a reality at Mother’s Lounge."
LA Threaux,info@lathreaux.com,https://www.lathreaux.com/,39359 Airline Plaza Pl,"Axe throwing venue in Gonzales, LA offering a fun and safe axe-perience with electronic scoring systems and BYOB.","LA Threaux offers axe throwing in a Prohibition-themed venue. They host special events like birthday parties and bachelorette parties, offering custom packages. Dedicated ""axe""perts ensure a smooth and fun experience while prioritizing safety. They are located in Gonzales, Louisiana and welcome walk-ins. They also offer membership options."
Dark 30,N/A,https://dark-30-wine-craftcocktail-bar.wheree.com/,151 3rd St,Sophisticated wine & craft cocktail bar in downtown Baton Rouge with an intimate ambiance and extensive selection of spirits.,"Dark 30 Wine & CraftCocktail Bar emerges as a sophisticated yet inviting oasis in the heart of downtown Baton Rouge, seamlessly blending timeless elegance with a vibrant atmosphere. This establishment captivates patrons with its dim lighting and thoughtfully curated interior design, creating an intimate ambiance ideal for unwinding after a long day. The extensive selection of spirits, including crafted cocktails and rare wines, caters to diverse palates, setting Dark 30 apart from typical bars. Unparalleled customer service further enhances the experience, making it a preferred destination for both seasoned connoisseurs and those seeking a refreshing evening out. The inviting and knowledgeable staff contribute to a satisfying journey through the world of luxury libations. The bar frequently hosts wine tastings, adding an educational twist to the experience. With its evolving drink selection and a commitment to exceptional service, Dark 30 continues to attract a loyal clientele, many of whom have made it part of their weekly routine. Located conveniently in downtown Baton Rouge, it boasts a clean, vibrant atmosphere, perfect for date nights or casual gatherings. The establishment's unique vibe and friendly bartenders create an environment where patrons feel valued and appreciated, making Dark 30 a hidden gem worth exploring."
The Bulldog,N/A,https://www.thebulldog.bar/contact-3-1-2/,4385 Perkins Rd,"Contact information for The Bulldog Baton Rouge, including address, phone number, bar hours, and kitchen hours. Includes links to their Facebook, Untappd, and Instagram pages.","THE BULLDOG BATON ROUGE
4385 Perkins Rd.
Baton Rouge, LA 70808
225-303-9400

BAR HOURS:
Mon-Sat 11:30 a.m. - 2:00 a.m.
Sun 11:30 a.m. - 12:00 a.m.

KITCHEN HOURS:
Sun-Tue 11:30 a.m. - 10:00 p.m.
Wed-Sat 11:30 a.m. - 12:00 p.m.

over 21 only"
Coop's on 621,N/A,https://www.facebook.com/coopson621/,38058 Hwy 621,The good time your momma warned you about!,N/A
Fred's in Tigerland,fredsintigerland@gmail.com,https://www.fredsintigerland.com/,1184 Bob Pettit Blvd,Featured in BuzzFeed's Top College Bars in America,N/A
The Main Lobby,N/A,https://www.themainlobbybr.com/,668 Main St,"The Main Lobby is an exquisite bar nestled in the heart of downtown Baton Rouge, Louisiana, with a hotel lobby-themed establishment.","Welcome to The Main Lobby, an exquisite bar nestled in the heart of downtown Baton Rouge, Louisiana. Immerse yourself in the unique ambiance of our hotel lobby-themed establishment, where the spirit of hospitality is woven into every detail.

Discover the warmth and elegance of our indoor bar and lounge area, meticulously designed to evoke the charm of a luxurious hotel foyer. As you ascend to our rooftop bar, be captivated by breathtaking views of downtown Baton Rouge, creating a backdrop of urban allure for your unforgettable experiences.

At The Main Lobby, we transcend the ordinary, offering a curated blend of classic and contemporary. Our commitment to excellence is reflected not only in our crafted cocktails and delectable offerings but also in the seamless fusion of nostalgia and modernity that defines our space.

Join us on a journey where each visit is a celebration of the art of hospitality. The Main Lobby invites you to indulge in the sophistication of our themed setting and create lasting memories in the heart of Baton Rouge. Welcome to a place where every sip, every moment, is an invitation to savor the essence of refined living. Cheers to the extraordinary at The Main Lobby!"
City Bar Baton Rouge,blake@citybarbatonrouge.com,https://www.225liveevents.com/venue/detail/City%20Bar%20Baton%20Rouge/45,333 3rd St,"Clean and fancy place to hang out
City Bar is a popular establishment in Baton Rouge
Experience the vibrant nightlife of Baton Rouge at City Bar
Come out to citybar and dance all night with DJ Swerve
Chad Hughes says he is moving the business to 333 Third Street","City Bar is a popular establishment in Baton Rouge, LA, known for its vibrant atmosphere and wide selection of drinks. Patrons can enjoy a casual night out
Experience the vibrant nightlife of Baton Rouge at City Bar, where dancing, live music, and local flavors come together for an unforgettable evening.
The popular Cajun-themed downtown bar, will soon be on the move. The bar will shift into the building located at 333 3rd St., which is currently inhabited
Come out to citybar and dance all night with DJ Swerve! Our doors open at 9:30 and we are eager to see all of your faces! See you there!
Chad Hughes says he is moving the business to 333 Third Street, which houses his City Bar Baton Rouge and is the former home of his Rio Tacos"
The Jefferson Lounge,catmama10339@gmail.com,https://www.facebook.com/dive.bar.br.jeffersonlounge/,4336 Floynell Dr,A eclectic bar you don't want your coworkers to know...,"The Jefferson Lounge, Baton Rouge, Louisiana. 1225 likes · 3 talking about this · 6084 were here. A eclectic bar you don't want your coworkers to know..."
The Vineyard,N/A,N/A,11914 Coursey Blvd,N/A,N/A
Dead Poet,N/A,N/A,623 E Boyd Dr,N/A,N/A
Tiger Tavern,N/A,https://www.instagram.com/tiger_tavern/,14505 Hwy 44,"Locally owned military bar with drive-thru service, non-smoking, no cover charge, 21+ only. Features 9 daiquiri machines and 52 craft beer taps.","Tiger Tavern is a locally owned military bar located in Gonzales, Louisiana. It is a non-smoking establishment with no cover charge and is restricted to patrons 21 years of age and older. The bar offers a unique drive-thru service. Inside, customers can enjoy a wide variety of beverages, including daiquiris from 9 different machines and a selection of 52 craft beers on tap. The tavern regularly hosts events such as karaoke, live music, and trivia nights."
Bianka Restaurants & Lounge,bianka@biankarestaurants.com,https://www.biankarestaurants.com/,11575 Coursey Blvd,"Bianka Restaurants, your culinary home in Metairie and Baton Rouge, where food and community thrive. We focus on fresh ingredients and inspired recipes, offering a vibrant menu that blends traditional and modern flavors. More than just a dining spot, Bianka is a place for friends and family to enjoy great food and memorable.","Bianka Restaurants is a culinary destination with locations in Metairie and Baton Rouge. They offer a vibrant menu blending traditional and modern flavors, made with fresh ingredients. Besides the food, they offer premium hookah experience, handcrafted cocktails, fine wines, and premium spirits."
Big D's Daiquiris,doubleddaiq@aol.com,https://www.facebook.com/pages/Double%20%22D%22%20Daiquiris/127267330677039/,30614 La Hwy 16,Sports bar specializing in daiquiris.,The daiquiri selection is extensive and full bar for other preferences. Daytime drive thru or night spot to pull up a seat at the bar.
Bayou Bar,N/A,https://m.facebook.com/bayoubar1947/,12496 Airline Hwy,"Bayou Bar is a dive bar located in Gonzales, Louisiana.","Bayou Bar is a dive bar that has a Facebook page with 1.3K likes and 1.6K followers. The bar is located at 12496 Airline Hwy, Gonzales, LA, United States, Louisiana. The phone number is (225) 644-2327. The price range is $$. 92% of reviewers recommend this location."
Boomerang Comedy Theater,Travis@BoomerangComedy.com,https://www.boomerangcomedy.com/,455 Hearthstone Dr,Live Improv & Stand Up Comedy Shows in Baton Rouge.,Boomerang Comedy Theater in Baton Rouge offers live comedy shows. Looking for a not-so-ordinary night out? Want to lift your spirits with some belly laughs? Check out the talented funny people on stage at Boomerang Comedy Theater in Baton Rouge!
The Colonel’s Club,info@thecolonelsclub.com,https://thecolonelsclub.com/,2857 Perkins Rd,"Located in the heart of the vibrant Overpass Merchants District, The Colonel’s Club is minutes from LSU and downtown Baton Rouge.","Planning an event or have a question, fill out the form on the contact page."
