Listing Title,Listing Email,Listing URL,Listing Address,Listing Short Description,Listing Long Description
The Self Care Academy,,http://gambarisol.com,202 Rue Beauregard St,,
Worknet Staffing,,http://www.worknetstaffing.com,315 S College Rd Ste 160,,
POLISHED by:Full Attention to Detail,,http://www.fullattentiontodetail.com/,209 Toledo Dr Ste 102,,
Boring Bookeeping & Notary Services,,http://www.boringbns.com,,,
College Hunks Hauling Junk & Moving - Acadiana,,https://www.collegehunkshaulingjunk.com/acadiana/,116 Toledo Dr,,
5 Star Lock & Key,,http://5starlockandkey.com,,,
Ms Sew N Sew Specialty,,,408 Bertrand Dr,,
Offshore Staffing Services of Acadiana,,,117 Industrial Pkwy,,
Geaux Maids - Lafayette,,https://www.geauxmaids.com/la/lafayette/,206 La Rue France,,
PBH Behavioral Consulting and Counseling,,http://www.pbhbcc.com,4400-A Ambassador Caffery Pkwy Box 186,,
The Law Office of Courtney Hollier Guillory,,http://guillorylegal.com,128 Demanade Blvd Ste 213,,
Mr. Electric of Lafayette,,https://mrelectric.com/lafayette/,207 Jared Dr,,
N-Hance Wood Renewal,,,440 Industrial Pkwy Ste 8,,
American Leak Detection - Gulf Coast,,https://www.americanleakdetection.com/lafayette/,,,
Barbara's Secretarial Services,,http://barbaras-secretarial-services.business.site,,,
Spherion Staffing,,http://www.spherionla.com,102 Amaryllis Dr,,
Gutters and More Construction,,http://www.guttersandmoreconstructionllc.com,,,
Dave Broussard AC & Heating,,http://www.davebroussard.com,101 Jared Dr,,
Bella Grace Paper,,http://www.bellagracepaper.com,111 Arnould Blvd,,
Take 5 Oil Change,,https://www.take5.com/locations/oil-change/louisiana/lafayette/30040/,1500 W Pinhook Rd,,
Miami Wholesale Tires,,https://www.miamiwholesaletireslafayette.com,1704 Ambassador Caffery Pkwy,,
P & M Investigations,,,401 Audubon Blvd Ste 206,,
Exteriors And Beyond,,,117 Heymann Blvd Ste 5,,
Aveda Arts & Sciences Institute - Lafayette,,https://avedaarts.edu/lps/yelp/lafayette/,2922 Johnston St,,
Blue Monkey Roofing,,https://bluemonkeyroofing.com,,,
Martin & Castille Funeral Home,,http://www.mourning.com,330 Saint Landry St,,
Lafayette Notary Jet,,https://lafayettenotaryjet.com,,,
Gary's Towing Service,,https://www.garystowingservice.com,424 Industrial Pkwy,,
Roane Insurance Agency,,http://www.roaneinsurance.com,419 Rena Dr,,
Empowered with Purpose,,https://empoweredwithpurpose.net,537 Cajundome Blvd Ste 111,,
Digital Music Services,,,318 Jeanette St,,
"Eric S Neumann,APLC",,http://ericneumann.com,117 W Convent St,,
Verizon,,https://www.verizon.com/stores/details/louisiana/lafayette/lafayette-ambassador-1156822/,4535 Ambassador Caffery Pkwy,,
Link Staffing,,,132 Industrial Pkwy,,
Doris Angels Janitorial Services,,https://www.dorisangelsjanitorialservices.com,,,
"Laurie J James, MCD",,http://www.lauriejjames.com,802 Robert Lee Cir,,
The Notary Nerd,,http://www.lanotarynerd.com,,,
Floor Trader- Lafayette,,https://www.floortraderlafayette.com,1320 Ambassador Caffery Pkwy,,
Semper Clean,,,,,
Rainey Chris CPA,,,208 Magnate Dr,,
Lapointe & Sonnier Bookkeeping and Tax,,https://lapointesonnier.com,113 Heymann Blvd Ste 7,,
Pixelbrush,,http://www.pixelbrushstudios.com,1304 Bertrand Dr,,
Translating and Interpreting Services - Maria Camila Sanchez,,http://translatingandinterpretingserv.godaddysites.com,,,
Reliant Payroll,,http://www.reliantpayroll.com/,3861 Ambassador Caffery Pkwy Ste 125,,
U-Pack Moving,,https://www.upack.com,1503 W Willow St,,
Trahan Architecture + Planning,,https://trahanarchitecture.com,819 Saint John St,,
Pinnacle Facility Services,,,321 Travis St Ste 8B,,
JMA Painters,,https://www.jmapainters.com,412 W University Ave Ste 201,,
ServiceMaster of Lafayette,,https://www.servicemasterrestore.com/servicemaster-of-lafayette-scott/,119 Credit Dr,,
Judice Hydrodynamics,,https://judicehydro.com,,,
Lafayette Restaurant Supply,,http://www.lrsfoodservice.com,1103 Hugh Wallis Rd S,,
Premier Staffing,,http://www.premierstaffing.org,100 Beauvais Ave Ste A-3 A-4,,
Superior Contract Cleaning,,http://superiorcontractcleaning.com,201 A Park W Dr,,
Vidrine Commercial Cleaning,,https://vidrinecommercialcleaning.com,655 Marie Antoinette St,,
Houses 2 Homes,,http://www.houses2homes.cleaning,,,
Hilton's Restaurant Supply,,http://www.hiltonsrestaurantsupply.com,1820 Cameron St,,
Lee's Air Conditioning Company,,https://www.leesac.com,156 Banks Ave,,
Mr. Appliance of Lafayette,,https://www.mrappliance.com/lafayette-la/,1318 Camellia Blvd Ste 223,,
Two Men and a Truck Lafayette,,https://twomenandatruck.com/movers/la/lafayette,4000 Cameron St,,
Lafayette Scanning and Imaging,,http://www.lafayettescanning.com,2851 Johnston St,,
Lafayette Locksmith & Security,,http://lafayettelocksmith.com,411 Kaliste Saloom Rd,,
J&J Exterminating Lafayette,,http://www.jjext.com/locations/lafayette-pest-control,105 S College Rd,,
SRC AIR- AC & Heating,,http://www.srcair.com,,,
Fuselier's Janitorial Service Supplies & Rentals,,http://www.fuseliersjanitorial.com,502 12th St,,
Barras Architects,,http://www.barrasarchitects.com,921 Harding St,,
Liberty Tax Service,,http://www.libertytax.com,1512 Ambassador Caffery Pkwy,,
Cleanupity Cleaning Service,,http://www.cleanupity.com,201 Rue Beauregard Ste 202,,
Grass Roots Landscape,,http://www.grassroots-landscape.com,124 Beau Pre Rd,,
TruGreen of Acadiana,,https://www.trugreensouth.com,,,
Don Kelehan Appliance & A/C Service,,http://lafayetteusedappliances.com,2119 Cameron St,,
Southern Tire Mart,,https://locations.stmtires.com/la/lafayette/2209-w-willow-st.,2209 W Willow St @ I-10,,
Fox Pest Control - Lafayette,,https://fox-pest.com/lafayette-la/,103 Tas St Ste 103,,
PMI Integrity Properties,,,1304 Bertrand Dr Ste B4,,
Extra Time,,http://extratimellc.com,4400A Ambassador Caffery Pkwy,,
Juleps Bar Consulting and Staffing Solutions,,,,,
Fix-A-Chip AutoGlass,,,2318 Moss St,,
King-Patin,,http://king-patin.com/,315 S College Rd Ste 160,,
Ridin' Dirty,,http://ridindirty.org,216 McKinley St,,
Manpower,,http://www.manpower.com,605 Kaliste Saloom Rd Ste H,,
Jones & Co. Tax Services,,http://jonescotaxes.com,926 E Simcoe St,,
Amy M Menard Notary Public,,http://www.amymmenardnotary.com,110 Bourque Rd,,
Chris' Electrical Service,,http://www.chriselectricalservice.com,656 W Broussard Rd,,
Third Coast Maintenance,,https://www.thirdcoastmaintenance.com,412 W University Ave Suits 205,,
Aucoin's Plumbing,,http://aucoinsplumbing.liveonatt.com,,,
Olson & O'Neill,,http://www.primetitle.net,1819 W Pinhook Rd,,
goDEPO,,http://www.godepo.com,109 E Vermilion St Ste 200,,
Instant Tax Attorney,,http://www.instanttaxsolutions.com/,600 Jefferson St,,
Angelle's Affordable Air Conditioning and Heating,,https://www.angellesaffordableacla.com,523 N University Ave,,
Lafayette Lawn & Landscapes,,,,,
The UPS Store,,https://locations.theupsstore.com/la/lafayette/2851-johnston-st,2851 Johnston St,,
Meaders Kitchen Equipment,,http://meaderskitchenequipment.com,602 SW Evangeline Thrwy,,
Clark Moving,,,3500 Johnston St,,
"Garrety and Associates, Certified Public Accountants",,http://www.garretycpa.com,3909-L Ambassador Caffry Pkwy Ste A,,
Bug Me Exterminating,,http://www.Bugmeexterminating.com,200 Maureen Dr,,
Meaux Dat Lawn Care Services,,,,,
Aire Serv of Lafayette,,https://www.aireserv.com/lafayette/,418 Mecca St,,
Bourque Tommy Tax Return Preparation,,,926 E Simcoe St,,
Audio Video Innovators,,https://avilafayette.com,104 William O Stutes St,,
Acadiana Comfort Systems,,https://acadianacomfort.com,3910 Cameron St Ste A,,
Chem-Dry of Acadiana,,https://www.chemdryacadiana.com,,,
Fred's Moving,,,,,
Malagarie's HVAC,,https://malagarieshvacllc.com,,,
Dartez Bob CPA,,,1304 Bertrand Dr Ste A5,,
Ed Roy Investigations,,http://www.edroy.com,1106 Coolidge Blvd,,
1st Choice Personnel,,http://www.1stchoicepersonnel.net/index.php/locations/lafayette-la-office,1602 W Pinhook Rd Ste 200B,,
Stellar Air Services,,https://stellarairservices.godaddysites.com,,,
J-Hern Cleaning Service,,,,,
The Notary Bug,,https://the-notary-bug-notary-services.business.site,105 Karen Dr,,
Lofton Staffing Services - Lafayette,,http://www.loftonstaffing.com/offices/lafayette,325 E Verot School Rd,,
Esteban Construction,,https://www.estebanconstruction.com,,,
Duhon’s Diesel Services,,,102 Max Dr,,
Wendy McCombie - Latter and Blum,,,,,
AMPM Plumbing Repair,,http://www.ampmplumbingrepair.com,924 Kaliste Saloom Ste C,,
Denmar Staffing,,http://denmarstaffing.com,606 Lee Ave,,
TSL Insurance Group,,https://www.tslins.com/locations/lafayette/,210 Rue Fontaine,,
Zaunbrecher Design,,https://www.zaunbrecherdesign.com,548 Jefferson St,,
"E Scott Thomas, CPA",,,4010 W Congress St Ste 204,,
Ross Tire & Service,,http://rosstirelafayette.com,14330 Greenwell Springs Rd,,
CJ's Plumbing Repair,,http://cjsplumbingandrepair.com,101 Arabian Dr,,
Blue Cliff College - Lafayette,,https://www.bluecliffcollege.edu/location/lafayette-campus/,120 James Comeaux Rd,,
Todd's Car Wash,,,5505 Johnston St,,
Ray Rebert Services Co,,,1440 Hebert Ln St.,,
TAS Roofing,,,213 Rosewood Ave,,
David N Meche And Associates,,https://dmecheassociates.net,345 Doucet Rd Ste 200H,,
Hebert's Home Inspections,,http://www.hebertshomeinspections.com,132 Driftwood Dr,,
Foam Insulation,,http://www.spraythefoam.com/,3430 W Pinhook Rd,,
Comet Cleaners,,http://www.cometcleaners.com,2015 W Pinhook Rd Ste 11-A,,
Shelton Law Firm,,,223 Bendel Rd,,
What Wood Jesus Do Carpentry,,https://www.wwjdcarpentry.com,,,
Danielle M Dayries & Associates,,http://dmdcareerconsulting.com/,200 W Brentwood Blvd,,
Gerald's Towing,,http://www.geraldstowing.net/contact.html,1633 St Mary St,,
LL Flooring - Broussard,,https://www.llflooring.com/stores/la/broussard/3401-us-90,3401 US 90,,
Geaux Registered Agent,,http://www.louisianaregisteredagent.com/,201 Rue Beauregard Ste 202,,
MBSB Group,,http://www.mbsbgroup.com/index.html,121 W Vermilion St,,
Grafx Plus,,https://www.grafxplus.com,204 Galbert Rd,,
Southwest Funding,,http://www.southwestfunding.com/vjenkins,116 Exchange Pl,,
AcadianaAlarms,,https://acadianaalarms.com,412 Travis St Ste 108,,
Cormier's Sewer Service,,https://mauricesewerservices.com,,,
Postlethwaite & Netterville,,http://pncpa.com/,400 E Kaliste Saloom Rd Ste 7100,,
Teche Turf,,,127 Talon Rd,,
Gilder Daniel E CPA Apac,,,900 S College Rd,,
Marcantel D J CPA,,,1029 Coolidge Blvd,,
Ace Electric,,http://www.aceplumbinginc.com/ace_electric,,,
Max's Pool Hall,,http://www.maxslafayette.com,105 Kaliste Saloom Rd,,
Walk-On's Sports Bistreaux - Lafayette Restaurant,,https://locate.walk-ons.com/la/lafayette/restaurants-3.html,2336 Kaliste Saloom Rd,,
Luna Bar & Grill,,https://www.lunabarandgrill.com,533 Jefferson St,,
Round Up,,,183 Austria Rd,,
The Bridge Bar,,,405 E Mills Ave,,
Downtown Ballroom and Bistro,,,417 Jefferson St,,
Corner Bar,,http://www.cornerbarla.com/,1700 Chemin Metairie Pkwy,,
O'darby's,,,827 Hector Connoly Rd,,
Social Southern Table & Bar,,http://socialsouthern.com,3901 Johnston St,,
Parkway Vapes and Hookah Lounge,,http://parkwayvapesandhookahlounge.com,201 Albertson Pkwy,,
Fast Eddie's Billiards,,,2431 W Congress St,,
Vestal,,http://www.vestalrestaurant.com,555 Jefferson St,,
Back & Forth Hookah Lounge,,,101 Jefferson Blvd,,
The Wurst Biergarten,,,537 Jefferson St,,
The Tap Room,,http://lataproom.com,201 Settlers Trace Blvd Ste 4001,,
The Grouse Room,,http://thegrouseroom.com,417 Jefferson St,,
Grant Street Dancehall,,https://grantstreetlaf.com,113 W Grant St,,
Galleries Lounge,,,Ramada Lafayette Conference Ctr 2032 NE Evangeline Thrwy,,
The Bulldog,,https://thebulldoglafayette.com,109 General Mouton Ave,,
El Paso Mexican Grill,,http://www.elpasomexicangrillpinhookrd.com,1809 W Pinhook Rd,,
Stans Downtown,,http://www.stansdowntown.com,116 E Vermillion St,,
Brother John's Place,,,1001 Saint Mary St,,
Renaissance Cafe & Night Club,,,425 Jefferson St,,
Fat Pat's Bar & Grill,,,1280 S Bernard Rd,,
Frozen Sun Daiquiris,,,2100 Verot School Rd,,
Zeus Cafe,,http://www.zeuscafe.net,1103 W Pinhook Rd,,
Club 410,,,402 S Buchanan St,,
Green Oaks Lounge,,,400 Guilbeau Rd,,
Fat Pat's Bar & Grill,,,117 Westmark Blvd,,
Boot Legger's,,,522 Jefferson St,,
Ritters,,,111 Duson St,,
Burgersmith,,http://www.burgersmith.com/,1314 Camellia Blvd,,
Walk-On's Sports Bistreaux - Broussard Restaurant,,https://locate.walk-ons.com/la/broussard/restaurants-16.html,110 Celebrity Dr,,
Tampico's,,https://tampicosla.com,5713 Johnston St,,
New Orleans Original Daiquiris,,https://www.nolaoriginal.com,200 Hector Connolly Rd Ste 100,,
Menard's Turn Around,,,6769 Johnson St,,
Daiquiri Hut,,,4801 Johnston St,,
Bar,,,421 Ridge Rd,,
Bar 167,,,8305 Maurice Ave,,
Buffalo Wild Wings,,,4415 Ambassador Caffery Pkwy Ste 700,,
Pop-Pee's Tavern,,,,,
Thib's Sports Bar & Grill,,,2962 Main Hwy,,
Evangeline Downs,,,2939A Grand Point Hwy,,
Jefferson Street Pub,,http://www.jeffersonstreetpub.com,500 Jefferson St,,
Tropicana Club,,,1815 Old Spanish Trl Saint,,
Shakeback Ent,,,,,
Bonefish Grill,,,1912 Kaliste Saloom Rd,,
Stacy's,,,3524 Kaliste Saloom Rd Ste 101,,
Maybe's Lounge,,,1901 Chemin Metairie Pkwy Ste-7,,
The Office Bar,,http://Www.theofficebar.com,324 Jefferson St,,
Zea Rotisserie & Bar,,http://zearestaurants.com/locations/lafayette/,235 Doucet Rd,,
Tante Marie,,http://Jamsandbiscuits.com,107 N Main St,,
Pogie's Pour House,,https://pogiespourhouse.com,115 Derek Plaza Dr,,
Bolt Bar & Patio,,http://www.boltlaffy.com,222 Jefferson St,,
The Barrel of Broussard,,,811 Albertson Pkwy Ste P,,
Daiquiris Supreme,,,4680 Johnston St,,
POUR Restaurant & Bar,,http://www.eatatpour.com,1 Degaulle Square,,
Brass Room,,,1301 Surrey St,,
The Whisper Room,,,302 Jefferson St,,
The Greenroom,,http://www.greenroomdowntown.com,229 Jefferson St,,
Oasis Hookah Lounge,,,111 Mimosa Pl,,
Skg Saloon,,,1109 S Main St,,
Yoka Japanese Sushi Bar & Steak House,,,1004 Fortune Rd Ste G,,
El Sido's,,,1523 N Saint Antoine St,,
Bayou Bistro,,,1801 W Pinhook Rd Crowne Plaza,,
Mandez's Seafood Bar & Grill,,,1821 Chemin Metairie Ste 3,,
Tilben's Lounge,,,,,
Golden Flamigo Nightclub,,,1001 E Simcoe St,,
City Lights,,,2033 NW Evangeline Trwy,,
Misfits Dine And Drink,,https://misfitsdineanddrink.com,200 Heritage Pkwy,,
Dewey's Lounge,,,2901 Bonin Rd,,
Tchoups MidCity Smokehouse,,http://www.eatmidcitybbq.com,117 S College Rd,,
Patin Ovey R,,,1215 Grand Pointe Ave,,
Benchmark Lounge,,,212 Tubing Rd,,
Juju's Clubhouse,,,1005 N Dugas Rd,,
World of Beer,,https://worldofbeer.com/locations/lafayette/,111 Old Camp Rd Ste 100,,
Legends Annex,,http://legendsoflafayette.com,110 Polk St,,
Teche,,,5316 Main Hwy Saint,,
Pedros Tacos And Tequila Bar,,http://pedrostacosandtequilabar.com,3323 Ambassador Caffery Pkwy,,
Blaise's Bar,,,8310 Maurice Ave,,
Food-N-Fun No 2 Lounge,,,1214 N Berard St,,
Como's Ice House,,,305 E Main St,,
Cayenne Club,,,2112 S Fieldspan Rd,,
La Debs,,,2201 Moss St,,
Murphys Law Sports Bar,,,3103 W Pinhook Rd,,
Young's Sports Grill,,https://youngssportsgrill.business.site,305 E Main St,,
Taqueria El Mexicano,,http://ordertaqueriaelmexicano.com,110 Mimosa Pl Ste A,,
Spurs,,,110 N Main St,,
Route 92,,http://www.route92livemusic.com,2600 E Milton Ave,,
Spoonbill Watering Hole & Restaurant,,https://www.spoonbillrestaurant.com,900 Jefferson St,,
Big Al's Hideaway Lounge,,,340 Sonnier Rd,,
Hoppers IceHouse,,,1109 S Main St,,
The Pearl,,http://www.thepearlmusic.com,222 Jefferson St,,
Carpe Diem Cafe & Wine Bar,,https://www.carpediemcafeandwinebar.com,812 Jefferson St,,
Agave Mexican Grill & Cantina,,,6774 Johnston St,,
McMillans Pub,,,2905 E Simcoe St,,
Lit Cloud Smoke Shop,,,2037 Johnston St,,
The Ruins,,https://www.theruinslounge.com,1919 Kaliste Saloom Rd Ste 303,,
Panda Entertainment,,http://pandaentertainmentva.com,,,
Debbie's Giddy Up'n Go,,,1050 Quarter Pole Rd,,
Lafayette Uniform & Linen Supply,,,1416 Eraste Landry Rd,,
Kevin Gaither and Big Potatoes,,,,,
Nhi Taste of Asia,,,114 Meadow Farm Rd Ste 100,,
R & R Lounge,,,107 Wilda St,,
Hot Food Express,,https://hot-food-express.com,3013 Cameron St,,
Cafe Bella,,,301 Heymann Blvd,,
Broken Moon Saloon,,http://www.brokenmoonsaloon.com/,4120 Cameron St,,
Fat Pat's Bar & Grill,,,626 Verot School Rd,,
The Patriot Inn,,,8501 Maurice Ave,,
Cafe Jardin,,,1521 W Pinhook Rd,,
Acadiana Tap House,,,200 Terminal Dr,,
Ricochet,,,1710 N Main St Saint,,
Maximillians,,,1521 W Pinhook Rd,,
Pete's Family Sports Grill,,http://www.peteslafayette.com,3903 Johnston St,,
Beer Garden,,,1251A Old Spanish Trail Hwy,,
Legends South,,,6772 Johnston Street Suite 100,,
Teak's Sports Bar and Grill,,,1917 Ridge Rd,,
Daiquiri Supreme,,https://daiquiri-supreme-youngsville.business.site,2761 E Milton Ave Ste A-3,,
Menard Angela Faye,,,,,
Real Wawees,,,411 W Milton Ave,,
Capone's Drinkery & Eats,,http://www.caponesdrinkeryandeats.com,3822 Ambassador Caffery,,
Applebee's Grill + Bar,,https://restaurants.applebees.com/en-us/la/lafayette/5630-johnston-street-88040,5630 Johnston St,,
Suzanna's,,,210 W Pont Des Mouton Rd,,
Chili's,,http://www.chilis.com,3905 Ambassador Caffery Pkwy,,
Legends Verot,,http://www.legendsoflafayette.com/,2921 Verot School Rd,,
Buffalo Wild Wings,,https://www.buffalowildwings.com/en/food/,2804 NE Evangeline Thruway,,
Chili's,,https://www.chilis.com/locations/us/louisiana/lafayette/west-lafayette-relo/,4301 Ambassador Caffery Pkwy,,
Twin Peaks,,https://twinpeaksrestaurant.com/locations/lafayette-la,5801 Johnston St,,
Grown Folks,,,1000 Louisiana Ave,,
Parc International,,,200 Garfield St,,
Lafonda,,,3809 Johnston St,,
Antoni's Italian Cafe,,http://www.antonisitaliancafe.com,1118 Coolidge Blvd Ste A,,
Central Pizza & Bar,,http://eatdrinkcentral.com,423 Jefferson St,,
501 Sports Bar,,http://www.501sportsbar.com,808 S Saint Blaise Ln,,
Uncle T's Oyster Bar,,https://uncletsoysterbar.com,1001 St Mary St,,
Sticks Billiards,,http://www.sticksbilliards.com,3220 Johnston St,,
Rhum Room,,,535 Garfield St,,
The Freetown Boom Boom Room,,,300 McKinley St,,
Miami Moon,,,932 E Simcoe St,,
Nite Town,,,524 Jefferson St,,
Cowboys Night Club,,,207 N Ambassador Caffery Pkwy,,
La Poussiere,,http://www.lapoussiere.com,1215 Grand Pointe Ave,,
Legends Downtown,,http://legendsoflafayette.com,413 Jefferson St,,
New Orleans Original Daiquiris,,https://www.nolaoriginal.com,1812 W Pinhook Ste 303,,
Ruth's Chris Steak House,,https://www.ruthschris.com/Restaurant-Locations/lafayette//,620 W Pinhook Rd,,
New Orleans Original Daiquiris,,https://www.nolaoriginal.com,4016 Hwy 90 E,,
Old Plaza Theatre,,,4509 Johnston St,,
New Orleans Original Daiquiris,,https://www.nolaoriginal.com,5601 Johnston St,,
Chesterton’s Fine Cigars,,https://chestertonsfinecigars.com,208 Centre Sarcelle Blvd Ste 103,,
Say Hey Karaoke,,https://sayheykaraoke.wixsite.com/sayheykaraoke,,,
Old Coulee Lounge,,,223 Vincent Rd,,
Charley G's,,http://www.charleygs.com/,3809 Ambassador Caffery Pkwy,,
Acadiana Duplicate Bridge Club,,,120 Leonie St,,
Popatop Lounge,,,1288 Smede Hwy,,
Hideaway on Lee,,http://www.hideawayonlee.com,407 Lee Ave,,
Frankie's Daiquiri,,,110 14th St,,
The End Zone,,,917 W Gloria Switch Rd,,
Jacque's Restaurant & Lounge,,,1801 W Pinhook Rd,,
Mout's Place,,,3908 Moss St,,
Root Hogs Sports Bar,,,222 Jefferson St,,
Chill-House,,https://chillhousefroyo.com,9611 Maurice Ave,,
Belly-To-Belly Sports Bar & Grill,,http://bellytobelly.us/,3103 W Pinhook Rd,,
La Pizzeria - Lafayette,,http://www.eatatlapizzeria.com,3809 Ambassadr Caffery Pkwy Ste 110,,
Mels Dinner Office,,,1225 SE Evangeline Thruway,,
Original Broussard Restaurant & Lounge Inc,,,6769 Johnston St,,
Chili's,,https://www.chilis.com/locations/us/louisiana/lafayette/carencro,3220 NE Evangeline Trwy,,
Cupid's Daiquiris,,,7200 W Hwy 90,,
Tsunami Sushi,,,412 Jefferson St,,
Chuy's,,https://www.chuys.com/locations/lafayette,4505 Ambassador Caffery Pkwy,,
Wrangler's,,,3601 N University Ave,,
Marley's Sports Bar,,,407 Jefferson St,,
City Bar Maurice,,,8401 Maurice Ave,,
Somewhere's Else Cocktail Lounge,,,1506 Surrey St,,
Legends - Bertrand,,,215 Bertrand Dr,,
Mandez's Seafood Bar & Grill,,http://www.mandezsgrill.com,110 Doucet Rd,,
Mercy Kitchen,,https://www.mercy-kitchen.com,1312 Verot School Rd,,
Pamplona Tapas Bar,,http://www.pamplonatapas.com/,631 Jefferson St,,
Cupid's Daiquiris,,http://www.cupidsdaiquiris.com,109 Louisiana Ave,,
The Studio Downtown,,http://www.thestudiodt.com,425 Jefferson St,,
Feed & Seed Lafayette,,,106 N Grant St,,
Legends Johnston,,https://www.legendsoflafayette.com/johnston/,4559 Johnston St,,
My Place Bar and Grill,,http://myplacelafayette.com,811 Foreman Dr,,
The Wild Salmon,,,813 Foreman Dr,,
Rock 'n' Bowl de Lafayette,,http://rocknbowl.com,905 Jefferson St,,
Murphy's Cigar Shop,,http://www.murphyscigarshop.com,3103 W Pinhook Rd Ste 100,,
Corner Bar,,http://www.cornerbarla.com,3103 Johnston St,,
Lafayette Comedy,,http://www.lafayettecomedy.com,,,
Whiskey & Vine,,,507 W Pinhook Rd,,
Scandals,,http://www.ScandalsLafayette.com,1801 W Pinhook,,
Blue Moon Saloon and  Guesthouse,,http://www.bluemoonpresents.com/,215 E Convent St,,
Legends,,https://www.legendsoflafayette.com/south/,6772 Johnston St,,
D J's,,,225 Wall St,,
Shisha Lounge and Grill,,https://shisha-bar-and-lounge.business.site,1216 NE Evangeline Thruway,,
Gloria's H & C Restaurant & Lounge,,,106 Merchants Blvd,,
Mi Tierra Sports Bar & Restaurant,,,1601 Eraste Landry Rd,,
Jim's Lounge,,,213 E Gloria Switch Rd,,
Hooters,,,3221 Ambassador Caffery Pkwy,,
B's Poppa P,,,6974 Johnston St,,
Legends - Scott,,https://www.legendsoflafayette.com/scott/,108 Apollo Rd,,
White Diamond Billiards,,,6722 Johnston St,,
2daMan Productions,,,,,
Chili's,,https://www.chilis.com/locations/us/louisiana/lafayette/lafayette,1734 W Pinhook Rd,,
Bob and Vi's Lounge,,,707 E Gloria Switch Rd,,
Charlotte's Lounge,,,2929 N University Ave,,
Legends Pub,,https://www.legendsoflafayette.com/pub/,104 Republic Ave,,
Pour Restaurant and Bar,,http://eatatpour.com,1901 Chemin Metarie Pkwy Ste E,,
1231 Lounge,,,1231 Carmel Dr,,
Pub Part II,,,608 E 2nd St,,
Tookie's Lounge & Sports Bar,,,1600 Ridge Rd,,
John's Too,,,4338 Poydras Hwy,,
Jacks R Lucky,,,1602 S Main St Saint,,
Main Street Bar,,,8501 Maurice Ave,,
Macks Place,,,1058 Smede Rd Saint,,
Mer'ci',,,,,
Stacy’s,,https://stacyscatering.com,3524 Kaliste Saloom Rd Ste 101,,
Legends - Pinhook,,https://www.legendsoflafayette.com/pinhook/,3439 W Pinhook Rd,,
Twin Peaks,,http://www.twinpeaksrestaurant.com/lafayette,5801 Johnston St,,
Boy's Lounge,,,1842 Declouet Hwy,,
K S M B F M 94.5 Stereo Radio Station Office,,,202 Galbert Rd,,
Ksmb-Fm 94.5 Today's Hit Music,,,202 Galbert Rd,,
Kvol Fm 1059 and Am 1330,,,202 Galbert Rd,,
Kadn-Tv Channel 15,,http://kadn.com/,1500 Eraste Landry Rd,,
Vibrandt Websites,,https://vibrandtweb.com,3 Flagg Pl Ste B-3,,
A O C Access Television,,,124 E Main St,,
Cox Media,,http://www.coxmedia.com,221 Rue De Jean,,
Coffee News,,,,,
BBR Creative,,https://www.bbrcreative.com,413 S Pierce St,,
Kmdl 97.3 Fm the Dawg,,,1749 Bertrand Dr,,
Gannett,,,1100 Bertrand Dr,,
Kvtz-Lp Fm Radio Station,,,345 W Mills Ave,,
Angers Publishing,,,100 Asma Blvd,,
Radio Tower,,,512 N Dugas Rd,,
Knek Am Fm,,,3225 Ambassadr Cffry Pkwy,,
Krrq Q-95,,,3225 Ambassadr Cffry Pkwy,,
Citadel Broadcasting Co-Ksmb,,http://www.ksmb.com,202 Galbert Rd,,
Kdys Radio Station 1520 Am,,,202 Galbert Rd,,
Klfy-Tv Young Broadcasting,,,1808 Eraste Landry Rd,,
White Knight Broadcasting,,,700 Saint John St,,
News Group,,,133 Evans Ln,,
Louisiana State Newspapers,,,600 Jefferson St Ste 1500,,
Louisiana Medical News,,http://www.louisianamedicalnews.com,600 Guilbeau Rd,,
KRRQ Q95.5,,http://krrq.com,202 Galbert Rd,,
Quik Quarter Classifieds,,,201 N College Rd,,
Face Magazine,,http://www.faceacadiana.com,3205 Johnston St,,
La Barter,,,,,
Teche News,,,600 Corporate Blvd,,
Ksjy Fm 90.9 Radio,,,614 Acadian Hills Ln,,
Kqis Radio,,,850 Kaliste Saloom Rd,,
Regent Broadcasting of Lafayette,,http://973thedawg.com/,1749 Bertrand Dr,,
KJCB Radio,,,604 Saint John St,,
Advocate the News Bureau,,,815 Johnston St,,
Planet Radio 105.1 KFTE-FM,,http://www.planet1051.com,1749 Bertrand Dr,,
Pittman Broadcasting Services,,,514 Guilbeau Rd Ste B,,
The Daily Advertiser,,,221 Jefferson St,,
Infinitely Home Magazine,,,143 Ridgeway Dr,,
Daily Advertiser,,,1100 Bertrand Dr,,
The Daily Advertiser,,,1100 Bertrand Dr,,
Times of Acadiana Newspaper,,,215 Garfield St,,
City Wide Broadcasting of Lafayette,,,204 Trader Ln,,
University Sports Publications,,http://universitypublications.com/,223 Martin Oaks Dr,,
Kxkc,,http://www.kxkc.com,202 Galbert Rd,,
Knek Magic 104.7 Fm and 1190 Am,,,3225 Ambassadr Cffry Pkwy,,
Klfy-Tv Television Station,,,1808 Eraste Landry Rd,,
Krka 107.9 Fm K Rock,,,1749 Bertrand Dr,,
Krof 960 Am the Gator,,,1749 Bertrand Dr,,
Interfax International,,,345 Doucet Rd Ste 240,,
Zing Magazine,,,143 Ridgeway Dr,,
Radio Forecast Network,,,,,
Knek,,http://www.knek.com,202 Galbert Rd,,
